
2306178.500000000, A.D. 1602-Jan-01 00:00:00.0000,  2.712429323580952E+06,  4.591439088620196E+07,  3.474939546773564E+06, -5.836339735745950E+01,  4.764274791631364E+00,  5.803333927640779E+00,  1.538581796941173E+02,  4.612552187390511E+07,  1.747588232057608E+00
2306183.500000000, A.D. 1602-Jan-06 00:00:00.0000, -2.182568153288566E+07,  4.236987525822055E+07,  5.464598916372266E+06, -5.306702384727222E+01, -2.035213530869392E+01,  3.273189303021756E+00,  1.600213923104220E+02,  4.797320653332372E+07,  6.541009399095058E+00
2306188.500000000, A.D. 1602-Jan-11 00:00:00.0000, -4.172542724930608E+07,  2.949171497635412E+07,  6.266203860041359E+06, -3.803279854095300E+01, -3.765066048485622E+01,  4.738307592541648E-01,  1.717138536538970E+02,  5.147851825955407E+07,  9.314979476139820E+00
2306193.500000000, A.D. 1602-Jan-16 00:00:00.0000, -5.425983570757005E+07,  1.121701621921450E+07,  5.946225757991467E+06, -1.993267526265041E+01, -4.550432945475156E+01, -1.843470324421936E+00,  1.858795856945852E+02,  5.572529788740133E+07,  1.005215250405689E+01
2306198.500000000, A.D. 1602-Jan-21 00:00:00.0000, -5.912233828046069E+07, -8.761372060979206E+06,  4.775945679575788E+06, -2.959401871047245E+00, -4.598213845064355E+01, -3.457521408726528E+00,  2.000000407877197E+02,  5.995850382785075E+07,  9.361815445412226E+00
2306203.500000000, A.D. 1602-Jan-26 00:00:00.0000, -5.721744981569953E+07, -2.781277518023191E+07,  3.052831780747632E+06,  1.127153698647308E+01, -4.158086721004619E+01, -4.421044232388274E+00,  2.124545847444251E+02,  6.369228217390047E+07,  7.819691622074290E+00
2306208.500000000, A.D. 1602-Jan-31 00:00:00.0000, -4.982758396670512E+07, -4.424967340920862E+07,  1.032872729817530E+06,  2.243268294217468E+01, -3.411777006938352E+01, -4.851146367491165E+00,  2.223121125949732E+02,  6.664749467801978E+07,  5.805517149578356E+00
2306213.500000000, A.D. 1602-Feb-05 00:00:00.0000, -3.826255864223772E+07, -5.701562412655597E+07, -1.076621154062632E+06,  3.062989058598709E+01, -2.473080915636373E+01, -4.850015169856384E+00,  2.290680575582652E+02,  6.867287602467780E+07,  3.542682023323643E+00
2306218.500000000, A.D. 1602-Feb-10 00:00:00.0000, -2.376661923837986E+07, -6.544016664760155E+07, -3.105753552080907E+06,  3.602331375415315E+01, -1.410703873743773E+01, -4.488279043220784E+00,  2.324660160579246E+02,  6.969155835547267E+07,  1.161605145213426E+00
2306223.500000000, A.D. 1602-Feb-15 00:00:00.0000, -7.531607086008048E+06, -6.908922944617891E+07, -4.908678191386905E+06,  3.868112844986460E+01, -2.682192059798053E+00, -3.807631583880414E+00,  2.323996816717044E+02,  6.967167180677782E+07, -1.253451196280255E+00
2306228.500000000, A.D. 1602-Feb-20 00:00:00.0000,  9.248925237912858E+06, -6.769016456257866E+07, -6.352492080472857E+06,  3.852067726358123E+01,  9.209911394913403E+00, -2.827496879967839E+00,  2.288710400855767E+02,  6.861381167227158E+07, -3.631687209806589E+00
2306233.500000000, A.D. 1602-Feb-25 00:00:00.0000,  2.530728558207544E+07, -6.111617775246385E+07, -7.309250517032783E+06,  3.527733562718149E+01,  2.120488795133475E+01, -1.552893921237879E+00,  2.219911288652796E+02,  6.655126617671692E+07, -5.887755797551264E+00
2306238.500000000, A.D. 1602-Mar-02 00:00:00.0000,  3.921917228792273E+07, -4.943246142783124E+07, -7.652058602397174E+06,  2.849100451308376E+01,  3.274606773196189E+01,  1.369094561987438E-02,  2.120236278883129E+02,  6.356308455871466E+07, -7.888696447287146E+00
2306243.500000000, A.D. 1602-Mar-07 00:00:00.0000,  4.932524347302749E+07, -3.302850698424321E+07, -7.258531760652557E+06,  1.755129836122807E+01,  4.283730144014147E+01,  1.848049260057767E+00,  1.994855021268045E+02,  5.980424901795897E+07, -9.406424766691266E+00
2306248.500000000, A.D. 1602-Mar-12 00:00:00.0000,  5.370809421326354E+07, -1.288455125817375E+07, -6.030284592830900E+06,  1.946920999895962E+00,  4.966788718576500E+01,  3.850664782296725E+00,  1.853288650134033E+02,  5.556019598071837E+07, -1.005402548516361E+01
2306253.500000000, A.D. 1602-Mar-17 00:00:00.0000,  5.037866214615848E+07,  8.989302191024365E+06, -3.945871590395778E+06, -1.793929310301183E+01,  5.024727420058430E+01,  5.743276887573931E+00,  1.712060426990174E+02,  5.132628036519136E+07, -9.249294592203483E+00
2306258.500000000, A.D. 1602-Mar-22 00:00:00.0000,  3.799664881924900E+07,  2.908933144483772E+07, -1.165288171858981E+06, -3.914687605346230E+01,  4.089558614009027E+01,  6.952452019944618E+00,  1.596686143764470E+02,  4.786744636936919E+07, -6.391117037195902E+00
2306263.500000000, A.D. 1602-Mar-27 00:00:00.0000,  1.734436066046251E+07,  4.267161380267448E+07,  1.853815133998545E+06, -5.483704328318954E+01,  2.033318615197192E+01,  6.739639112260924E+00,  1.537701572765136E+02,  4.609913341697261E+07, -1.539498449488656E+00
2306268.500000000, A.D. 1602-Apr-01 00:00:00.0000, -7.511172189441619E+06,  4.580110561807451E+07,  4.414595741583925E+06, -5.780613591570771E+01, -5.999877042282360E+00,  4.877835675074452E+00,  1.555155673056523E+02,  4.662239417982595E+07,  3.880635350076665E+00
2306273.500000000, A.D. 1602-Apr-06 00:00:00.0000, -3.068654808550753E+07,  3.805943521938094E+07,  5.937073983062441E+06, -4.773301677104357E+01, -2.854539488896104E+01,  2.113042111965429E+00,  1.642759547604941E+02,  4.924869226794531E+07,  7.936965961335541E+00
