
2446066.500000000, A.D. 1985-Jan-01 00:00:00.0000,  2.063929335499996E+08,  3.728148556918176E+07, -4.298652775694447E+06, -3.372360354591893E+00,  2.590879774292120E+01,  6.255790511462376E-01,  6.997410769367652E+02,  2.097770974184399E+08,  1.273723293720788E+00
2446067.500000000, A.D. 1985-Jan-02 00:00:00.0000,  2.060904977851056E+08,  3.951796610465841E+07, -4.244373172632273E+06, -3.628337321723598E+00,  2.586113494784944E+01,  6.308806143204091E-01,  7.001110485122106E+02,  2.098880121064329E+08,  1.293718083520505E+00
2446068.500000000, A.D. 1985-Jan-03 00:00:00.0000,  2.057659798180296E+08,  4.175021214935525E+07, -4.189638793606151E+06, -3.883517146262434E+00,  2.581077965544036E+01,  6.361061770086547E-01,  7.004867580582811E+02,  2.100006469947434E+08,  1.313542431633300E+00
2446069.500000000, A.D. 1985-Jan-04 00:00:00.0000,  2.054194498805191E+08,  4.397799172928686E+07, -4.134456224946244E+06, -4.137868449900458E+00,  2.575774720294378E+01,  6.412552923994124E-01,  7.008681561514580E+02,  2.101149872665734E+08,  1.333194240488806E+00
2446070.500000000, A.D. 1985-Jan-05 00:00:00.0000,  2.050509809015529E+08,  4.620107421472768E+07, -4.078832091196874E+06, -4.391360188655721E+00,  2.570205333054913E+01,  6.463275273584834E-01,  7.012551927731848E+02,  2.102310179267369E+08,  1.352671459065057E+00
2446071.500000000, A.D. 1985-Jan-06 00:00:00.0000,  2.046606484779657E+08,  4.841923035555832E+07, -4.022773053733027E+06, -4.643961652739372E+00,  2.564371419188607E+01,  6.513224602065577E-01,  7.016478173233530E+02,  2.103487238057030E+08,  1.371972092861120E+00
2446072.500000000, A.D. 1985-Jan-07 00:00:00.0000,  2.042485308444304E+08,  5.063223231583161E+07, -3.966285809319483E+06, -4.895642471135591E+00,  2.558274635899027E+01,  6.562396813113587E-01,  7.020459786333596E+02,  2.104680895635103E+08,  1.391094208761290E+00
2446073.500000000, A.D. 1985-Jan-08 00:00:00.0000,  2.038147088427793E+08,  5.283985370774066E+07, -3.909377088588605E+06, -5.146372631020149E+00,  2.551916680713566E+01,  6.610788002332733E-01,  7.024496249787497E+02,  2.105890996935576E+08,  1.410035920953987E+00
2446074.500000000, A.D. 1985-Jan-09 00:00:00.0000,  2.033592658908593E+08,  5.504186962497351E+07, -3.852053654520992E+06, -5.396122498403023E+00,  2.545299288744742E+01,  6.658394522215243E-01,  7.028587040920497E+02,  2.107117385264502E+08,  1.428795372075695E+00
2446075.500000000, A.D. 1985-Jan-10 00:00:00.0000,  2.028822879510774E+08,  5.723805667523904E+07, -3.794322301003344E+06, -5.644862823031348E+00,  2.538424231008787E+01,  6.705212969730869E-01,  7.032731631760614E+02,  2.108359902339865E+08,  1.447370731378285E+00
2446076.500000000, A.D. 1985-Jan-11 00:00:00.0000,  2.023838634985624E+08,  5.942819301184068E+07, -3.736189851423994E+06, -5.892564729570834E+00,  2.531293313939448E+01,  6.751240115526773E-01,  7.036929489171746E+02,  2.109618388331482E+08,  1.465760208802482E+00
2446077.500000000, A.D. 1985-Jan-12 00:00:00.0000,  2.018640834888040E+08,  6.161205836442716E+07, -3.677663157226950E+06, -6.139199706972358E+00,  2.523908378659613E+01,  6.796472828714606E-01,  7.041180074982531E+02,  2.110892681899637E+08,  1.483962069865600E+00
2446078.500000000, A.D. 1985-Jan-13 00:00:00.0000,  2.013230413248311E+08,  6.378943406913761E+07, -3.618749096437283E+06, -6.384739607078879E+00,  2.516271300167158E+01,  6.840908049283989E-01,  7.045482846114411E+02,  2.112182620233475E+08,  1.501974640996008E+00
2446079.500000000, A.D. 1985-Jan-14 00:00:00.0000,  2.007608328241195E+08,  6.596010309815889E+07, -3.559454572236080E+06, -6.629156657226982E+00,  2.508383987589074E+01,  6.884542836152470E-01,  7.049837254714936E+02,  2.113488039090963E+08,  1.519796304480541E+00
2446080.500000000, A.D. 1985-Jan-15 00:00:00.0000,  2.001775561852584E+08,  6.812385008849615E+07, -3.499786511593685E+06, -6.872423481039446E+00,  2.500248384732425E+01,  6.927374459276017E-01,  7.054242748294783E+02,  2.114808772839969E+08,  1.537425487149570E+00
2446081.500000000, A.D. 1985-Jan-16 00:00:00.0000,  1.995733119542091E+08,  7.028046136979914E+07, -3.439751863877695E+06, -7.114513110645064E+00,  2.491866468773229E+01,  6.969400440326901E-01,  7.058698769860656E+02,  2.116144654498102E+08,  1.554860652012634E+00
2446082.500000000, A.D. 1985-Jan-17 00:00:00.0000,  1.989482029900689E+08,  7.242972499133247E+07, -3.379357599388767E+06, -7.355398983331419E+00,  2.483240247329224E+01,  7.010618506749378E-01,  7.063204758041352E+02,  2.117495515770511E+08,  1.572100298838290E+00
2446083.500000000, A.D. 1985-Jan-18 00:00:00.0000,  1.983023344305034E+08,  7.457143074828014E+07, -3.318610707887940E+06, -7.595054936901342E+00,  2.474371756071117E+01,  7.051026541205125E-01,  7.067760147213618E+02,  2.118861187087612E+08,  1.589142966287547E+00
2446084.500000000, A.D. 1985-Jan-19 00:00:00.0000,  1.976358136570592E+08,  7.670537020737146E+07, -3.257518197207049E+06, -7.833455210779465E+00,  2.465263057980032E+01,  7.090622567390454E-01,  7.072364367634016E+02,  2.120241497644617E+08,  1.605987233315693E+00
2446085.500000000, A.D. 1985-Jan-20 00:00:00.0000,  1.969487502603744E+08,  7.883133673164824E+07, -3.196087091944564E+06, -8.070574444167930E+00,  2.455916243890661E+01,  7.129404729905975E-01,  7.077016845574439E+02,  2.121636275442167E+08,  1.622631727918150E+00
